table_name,description,DDL
USERS_BEHAVIORS_APP_FIRSTSESSION_VIEW,,"create or replace TABLE USERS_BEHAVIORS_APP_FIRSTSESSION_VIEW (
	""""SESSION_ID"""" VARCHAR(16777216),
	""""LANGUAGE"""" VARCHAR(16777216),
	""""OS_VERSION"""" VARCHAR(16777216),
	""""APP_ID"""" VARCHAR(16777216),
	""""APP_API_ID"""" VARCHAR(16777216),
	""""COUNTRY"""" VARCHAR(16777216),
	""""SDK_VERSION"""" VARCHAR(16777216),
	""""EXTERNAL_USER_ID"""" VARCHAR(16777216),
	""""PLATFORM"""" VARCHAR(16777216),
	""""DEVICE_ID"""" VARCHAR(16777216),
	""""DEVICE_MODEL"""" VARCHAR(16777216),
	""""SF_CREATED_AT"""" TIMESTAMP_LTZ,
	""""APP_GROUP_API_ID"""" VARCHAR(16777216),
	""""TIME"""" NUMBER(38,0),
	""""USER_ID"""" VARCHAR(16777216),
	""""APP_GROUP_ID"""" VARCHAR(16777216),
	""""TIMEZONE"""" VARCHAR(16777216),
	""""GENDER"""" VARCHAR(16777216),
	""""ID"""" VARCHAR(16777216)
);"
USERS_BEHAVIORS_APP_NEWSFEEDIMPRESSION_VIEW,,"create or replace TABLE USERS_BEHAVIORS_APP_NEWSFEEDIMPRESSION_VIEW (
	""""OS_VERSION"""" VARCHAR(16777216),
	""""APP_GROUP_API_ID"""" VARCHAR(16777216),
	""""APP_GROUP_ID"""" VARCHAR(16777216),
	""""DEVICE_ID"""" VARCHAR(16777216),
	""""DEVICE_MODEL"""" VARCHAR(16777216),
	""""ID"""" VARCHAR(16777216),
	""""USER_ID"""" VARCHAR(16777216),
	""""PLATFORM"""" VARCHAR(16777216),
	""""TIME"""" NUMBER(38,0),
	""""SF_CREATED_AT"""" TIMESTAMP_LTZ,
	""""APP_ID"""" VARCHAR(16777216),
	""""EXTERNAL_USER_ID"""" VARCHAR(16777216),
	""""APP_API_ID"""" VARCHAR(16777216),
	""""SDK_VERSION"""" VARCHAR(16777216)
);"
USERS_BEHAVIORS_APP_SESSIONEND_VIEW,,"create or replace TABLE USERS_BEHAVIORS_APP_SESSIONEND_VIEW (
	""""SDK_VERSION"""" VARCHAR(16777216),
	""""EXTERNAL_USER_ID"""" VARCHAR(16777216),
	""""SF_CREATED_AT"""" TIMESTAMP_LTZ,
	""""TIME"""" NUMBER(38,0),
	""""PLATFORM"""" VARCHAR(16777216),
	""""SESSION_ID"""" VARCHAR(16777216),
	""""ID"""" VARCHAR(16777216),
	""""DEVICE_ID"""" VARCHAR(16777216),
	""""APP_GROUP_API_ID"""" VARCHAR(16777216),
	""""APP_API_ID"""" VARCHAR(16777216),
	""""APP_ID"""" VARCHAR(16777216),
	""""OS_VERSION"""" VARCHAR(16777216),
	""""APP_GROUP_ID"""" VARCHAR(16777216),
	""""DEVICE_MODEL"""" VARCHAR(16777216),
	""""USER_ID"""" VARCHAR(16777216),
	""""DURATION"""" VARCHAR(16777216)
);"
USERS_BEHAVIORS_APP_SESSIONSTART_VIEW,,"create or replace TABLE USERS_BEHAVIORS_APP_SESSIONSTART_VIEW (
	""""APP_GROUP_ID"""" VARCHAR(16777216),
	""""PLATFORM"""" VARCHAR(16777216),
	""""DEVICE_MODEL"""" VARCHAR(16777216),
	""""DEVICE_ID"""" VARCHAR(16777216),
	""""TIME"""" NUMBER(38,0),
	""""APP_GROUP_API_ID"""" VARCHAR(16777216),
	""""OS_VERSION"""" VARCHAR(16777216),
	""""EXTERNAL_USER_ID"""" VARCHAR(16777216),
	""""APP_ID"""" VARCHAR(16777216),
	""""SESSION_ID"""" VARCHAR(16777216),
	""""APP_API_ID"""" VARCHAR(16777216),
	""""SDK_VERSION"""" VARCHAR(16777216),
	""""ID"""" VARCHAR(16777216),
	""""USER_ID"""" VARCHAR(16777216),
	""""SF_CREATED_AT"""" TIMESTAMP_LTZ
);"
USERS_BEHAVIORS_CUSTOMEVENT_VIEW,,"create or replace TABLE USERS_BEHAVIORS_CUSTOMEVENT_VIEW (
	""""USER_ID"""" VARCHAR(16777216),
	""""SF_CREATED_AT"""" TIMESTAMP_LTZ,
	""""DEVICE_MODEL"""" VARCHAR(16777216),
	""""AD_ID"""" VARCHAR(16777216),
	""""AD_TRACKING_ENABLED"""" BOOLEAN,
	""""ID"""" VARCHAR(16777216),
	""""NAME"""" VARCHAR(16777216),
	""""APP_ID"""" VARCHAR(16777216),
	""""APP_API_ID"""" VARCHAR(16777216),
	""""COUNTRY"""" VARCHAR(16777216),
	""""OS_VERSION"""" VARCHAR(16777216),
	""""GENDER"""" VARCHAR(16777216),
	""""AD_ID_TYPE"""" VARCHAR(16777216),
	""""LANGUAGE"""" VARCHAR(16777216),
	""""TIME"""" NUMBER(38,0),
	""""TIMEZONE"""" VARCHAR(16777216),
	""""DATA_POINT_SOURCE"""" NUMBER(38,0),
	""""APP_GROUP_API_ID"""" VARCHAR(16777216),
	""""DEVICE_ID"""" VARCHAR(16777216),
	""""EXTERNAL_USER_ID"""" VARCHAR(16777216),
	""""APP_GROUP_ID"""" VARCHAR(16777216),
	""""SDK_VERSION"""" VARCHAR(16777216),
	""""PLATFORM"""" VARCHAR(16777216),
	""""PROPERTIES"""" VARCHAR(16777216)
);"
USERS_BEHAVIORS_GEOFENCE_DATAEVENT_VIEW,,"create or replace TABLE USERS_BEHAVIORS_GEOFENCE_DATAEVENT_VIEW (
	""""EVENT_TYPE"""" VARCHAR(16777216),
	""""OS_VERSION"""" VARCHAR(16777216),
	""""SF_CREATED_AT"""" TIMESTAMP_LTZ,
	""""LOCATION_SET_ID"""" VARCHAR(16777216),
	""""SDK_VERSION"""" VARCHAR(16777216),
	""""APP_API_ID"""" VARCHAR(16777216),
	""""USER_ID"""" VARCHAR(16777216),
	""""TIME"""" NUMBER(38,0),
	""""PLATFORM"""" VARCHAR(16777216),
	""""APP_GROUP_ID"""" VARCHAR(16777216),
	""""GEOFENCE_ID"""" VARCHAR(16777216),
	""""APP_GROUP_API_ID"""" VARCHAR(16777216),
	""""EXTERNAL_USER_ID"""" VARCHAR(16777216),
	""""APP_ID"""" VARCHAR(16777216),
	""""DEVICE_ID"""" VARCHAR(16777216),
	""""ID"""" VARCHAR(16777216),
	""""DEVICE_MODEL"""" VARCHAR(16777216)
);"
USERS_BEHAVIORS_INSTALLATTRIBUTION_VIEW,,"create or replace TABLE USERS_BEHAVIORS_INSTALLATTRIBUTION_VIEW (
	""""ID"""" VARCHAR(16777216),
	""""TIME"""" NUMBER(38,0),
	""""SF_CREATED_AT"""" TIMESTAMP_LTZ,
	""""APP_GROUP_API_ID"""" VARCHAR(16777216),
	""""USER_ID"""" VARCHAR(16777216),
	""""DEVICE_ID"""" VARCHAR(16777216),
	""""EXTERNAL_USER_ID"""" VARCHAR(16777216),
	""""SOURCE"""" VARCHAR(16777216),
	""""APP_GROUP_ID"""" VARCHAR(16777216)
);"
USERS_BEHAVIORS_LOCATION_VIEW,,"create or replace TABLE USERS_BEHAVIORS_LOCATION_VIEW (
	""""AD_ID_TYPE"""" VARCHAR(16777216),
	""""LL_ACCURACY"""" VARCHAR(16777216),
	""""LONGITUDE"""" VARCHAR(16777216),
	""""SF_CREATED_AT"""" TIMESTAMP_LTZ,
	""""EXTERNAL_USER_ID"""" VARCHAR(16777216),
	""""LATITUDE"""" VARCHAR(16777216),
	""""APP_API_ID"""" VARCHAR(16777216),
	""""DEVICE_MODEL"""" VARCHAR(16777216),
	""""USER_ID"""" VARCHAR(16777216),
	""""APP_GROUP_API_ID"""" VARCHAR(16777216),
	""""APP_GROUP_ID"""" VARCHAR(16777216),
	""""DEVICE_ID"""" VARCHAR(16777216),
	""""ALT_ACCURACY"""" VARCHAR(16777216),
	""""AD_TRACKING_ENABLED"""" BOOLEAN,
	""""OS_VERSION"""" VARCHAR(16777216),
	""""APP_ID"""" VARCHAR(16777216),
	""""AD_ID"""" VARCHAR(16777216),
	""""ID"""" VARCHAR(16777216),
	""""TIME"""" NUMBER(38,0),
	""""SDK_VERSION"""" VARCHAR(16777216),
	""""PLATFORM"""" VARCHAR(16777216),
	""""ALTITUDE"""" VARCHAR(16777216)
);"
USERS_BEHAVIORS_PURCHASE_VIEW,,"create or replace TABLE USERS_BEHAVIORS_PURCHASE_VIEW (
	""""DEVICE_ID"""" VARCHAR(16777216),
	""""APP_ID"""" VARCHAR(16777216),
	""""SDK_VERSION"""" VARCHAR(16777216),
	""""APP_API_ID"""" VARCHAR(16777216),
	""""DATA_POINT_SOURCE"""" NUMBER(38,0),
	""""AD_ID_TYPE"""" VARCHAR(16777216),
	""""EXTERNAL_USER_ID"""" VARCHAR(16777216),
	""""AD_TRACKING_ENABLED"""" BOOLEAN,
	""""OS_VERSION"""" VARCHAR(16777216),
	""""PRODUCT_ID"""" VARCHAR(16777216),
	""""AD_ID"""" VARCHAR(16777216),
	""""ID"""" VARCHAR(16777216),
	""""PROPERTIES"""" VARCHAR(16777216),
	""""USER_ID"""" VARCHAR(16777216),
	""""APP_GROUP_ID"""" VARCHAR(16777216),
	""""PRICE"""" VARCHAR(16777216),
	""""APP_GROUP_API_ID"""" VARCHAR(16777216),
	""""DEVICE_MODEL"""" VARCHAR(16777216),
	""""SOURCE"""" VARCHAR(16777216),
	""""SF_CREATED_AT"""" TIMESTAMP_LTZ,
	""""PLATFORM"""" VARCHAR(16777216),
	""""CURRENCY"""" VARCHAR(16777216),
	""""TIME"""" NUMBER(38,0)
);"
USERS_BEHAVIORS_SUBSCRIPTIONGROUP_STATECHANGE_VIEW,,"create or replace TABLE USERS_BEHAVIORS_SUBSCRIPTIONGROUP_STATECHANGE_VIEW (
	""""APP_API_ID"""" VARCHAR(16777216),
	""""CANVAS_STEP_API_ID"""" VARCHAR(16777216),
	""""USER_ID"""" VARCHAR(16777216),
	""""CAMPAIGN_ID"""" VARCHAR(16777216),
	""""MESSAGE_VARIATION_API_ID"""" VARCHAR(16777216),
	""""CANVAS_VARIATION_API_ID"""" VARCHAR(16777216),
	""""EXTERNAL_USER_ID"""" VARCHAR(16777216),
	""""APP_ID"""" VARCHAR(16777216),
	""""CANVAS_STEP_ID"""" VARCHAR(16777216),
	""""CAMPAIGN_API_ID"""" VARCHAR(16777216),
	""""SUBSCRIPTION_STATUS"""" VARCHAR(16777216),
	""""CANVAS_API_ID"""" VARCHAR(16777216),
	""""PHONE_NUMBER"""" VARCHAR(16777216),
	""""SUBSCRIPTION_GROUP_API_ID"""" VARCHAR(16777216),
	""""SF_CREATED_AT"""" TIMESTAMP_LTZ,
	""""TIMEZONE"""" VARCHAR(16777216),
	""""CHANNEL"""" VARCHAR(16777216),
	""""ID"""" VARCHAR(16777216),
	""""APP_GROUP_API_ID"""" VARCHAR(16777216),
	""""SUBSCRIPTION_GROUP_ID"""" VARCHAR(16777216),
	""""EMAIL_ADDRESS"""" VARCHAR(16777216),
	""""SEND_ID"""" VARCHAR(16777216),
	""""CANVAS_ID"""" VARCHAR(16777216),
	""""APP_GROUP_ID"""" VARCHAR(16777216),
	""""CANVAS_VARIATION_ID"""" VARCHAR(16777216),
	""""MESSAGE_VARIATION_ID"""" VARCHAR(16777216),
	""""TIME"""" NUMBER(38,0),
	""""DEVICE_ID"""" VARCHAR(16777216)
);"
USERS_BEHAVIORS_UNINSTALL_VIEW,,"create or replace TABLE USERS_BEHAVIORS_UNINSTALL_VIEW (
	""""USER_ID"""" VARCHAR(16777216),
	""""TIME"""" NUMBER(38,0),
	""""APP_GROUP_API_ID"""" VARCHAR(16777216),
	""""APP_API_ID"""" VARCHAR(16777216),
	""""APP_GROUP_ID"""" VARCHAR(16777216),
	""""ID"""" VARCHAR(16777216),
	""""APP_ID"""" VARCHAR(16777216),
	""""DEVICE_ID"""" VARCHAR(16777216),
	""""SF_CREATED_AT"""" TIMESTAMP_LTZ,
	""""EXTERNAL_USER_ID"""" VARCHAR(16777216)
);"
USERS_BEHAVIORS_UPGRADEDAPP_VIEW,,"create or replace TABLE USERS_BEHAVIORS_UPGRADEDAPP_VIEW (
	""""TIME"""" NUMBER(38,0),
	""""ID"""" VARCHAR(16777216),
	""""PLATFORM"""" VARCHAR(16777216),
	""""APP_GROUP_ID"""" VARCHAR(16777216),
	""""OS_VERSION"""" VARCHAR(16777216),
	""""SDK_VERSION"""" VARCHAR(16777216),
	""""EXTERNAL_USER_ID"""" VARCHAR(16777216),
	""""OLD_APP_VERSION"""" VARCHAR(16777216),
	""""USER_ID"""" VARCHAR(16777216),
	""""DEVICE_ID"""" VARCHAR(16777216),
	""""APP_GROUP_API_ID"""" VARCHAR(16777216),
	""""NEW_APP_VERSION"""" VARCHAR(16777216),
	""""APP_ID"""" VARCHAR(16777216),
	""""DEVICE_MODEL"""" VARCHAR(16777216),
	""""APP_API_ID"""" VARCHAR(16777216),
	""""SF_CREATED_AT"""" TIMESTAMP_LTZ
);"
USERS_CAMPAIGNS_CONVERSION_VIEW,,"create or replace TABLE USERS_CAMPAIGNS_CONVERSION_VIEW (
	""""MESSAGE_VARIATION_API_ID"""" VARCHAR(16777216),
	""""APP_GROUP_ID"""" VARCHAR(16777216),
	""""COUNTRY"""" VARCHAR(16777216),
	""""SF_CREATED_AT"""" TIMESTAMP_LTZ,
	""""BOOLEAN_CUSTOM_ATTRIBUTES"""" VARIANT,
	""""GENDER"""" VARCHAR(16777216),
	""""TIME_CUSTOM_ATTRIBUTES"""" VARIANT,
	""""APP_ID"""" VARCHAR(16777216),
	""""APP_GROUP_API_ID"""" VARCHAR(16777216),
	""""TIMEZONE"""" VARCHAR(16777216),
	""""FLOAT_CUSTOM_ATTRIBUTES"""" VARIANT,
	""""ID"""" VARCHAR(16777216),
	""""CAMPAIGN_API_ID"""" VARCHAR(16777216),
	""""EXTERNAL_USER_ID"""" VARCHAR(16777216),
	""""APP_API_ID"""" VARCHAR(16777216),
	""""SEND_ID"""" VARCHAR(16777216),
	""""DISPATCH_ID"""" VARCHAR(16777216),
	""""LANGUAGE"""" VARCHAR(16777216),
	""""CONVERSION_BEHAVIOR_INDEX"""" NUMBER(38,0),
	""""STRING_CUSTOM_ATTRIBUTES"""" VARIANT,
	""""DEVICE_ID"""" VARCHAR(16777216),
	""""TIME"""" NUMBER(38,0),
	""""NUMBER_CUSTOM_ATTRIBUTES"""" VARIANT,
	""""MESSAGE_VARIATION_ID"""" VARCHAR(16777216),
	""""CAMPAIGN_ID"""" VARCHAR(16777216),
	""""USER_ID"""" VARCHAR(16777216)
);"
USERS_CAMPAIGNS_ENROLLINCONTROL_VIEW,,"create or replace TABLE USERS_CAMPAIGNS_ENROLLINCONTROL_VIEW (
	""""APP_API_ID"""" VARCHAR(16777216),
	""""APP_ID"""" VARCHAR(16777216),
	""""TIME"""" NUMBER(38,0),
	""""MESSAGE_VARIATION_API_ID"""" VARCHAR(16777216),
	""""MESSAGE_VARIATION_ID"""" VARCHAR(16777216),
	""""SEND_ID"""" VARCHAR(16777216),
	""""TIME_CUSTOM_ATTRIBUTES"""" VARIANT,
	""""STRING_CUSTOM_ATTRIBUTES"""" VARIANT,
	""""NUMBER_CUSTOM_ATTRIBUTES"""" VARIANT,
	""""USER_ID"""" VARCHAR(16777216),
	""""DEVICE_ID"""" VARCHAR(16777216),
	""""SF_CREATED_AT"""" TIMESTAMP_LTZ,
	""""COUNTRY"""" VARCHAR(16777216),
	""""EXTERNAL_USER_ID"""" VARCHAR(16777216),
	""""FLOAT_CUSTOM_ATTRIBUTES"""" VARIANT,
	""""GENDER"""" VARCHAR(16777216),
	""""APP_GROUP_ID"""" VARCHAR(16777216),
	""""TIMEZONE"""" VARCHAR(16777216),
	""""ID"""" VARCHAR(16777216),
	""""BOOLEAN_CUSTOM_ATTRIBUTES"""" VARIANT,
	""""CAMPAIGN_ID"""" VARCHAR(16777216),
	""""CAMPAIGN_API_ID"""" VARCHAR(16777216),
	""""LANGUAGE"""" VARCHAR(16777216),
	""""APP_GROUP_API_ID"""" VARCHAR(16777216),
	""""DISPATCH_ID"""" VARCHAR(16777216)
);"
USERS_CAMPAIGNS_FREQUENCYCAP_VIEW,,"create or replace TABLE USERS_CAMPAIGNS_FREQUENCYCAP_VIEW (
	""""EXTERNAL_USER_ID"""" VARCHAR(16777216),
	""""MESSAGE_VARIATION_ID"""" VARCHAR(16777216),
	""""MESSAGE_VARIATION_API_ID"""" VARCHAR(16777216),
	""""BOOLEAN_CUSTOM_ATTRIBUTES"""" VARIANT,
	""""DEVICE_ID"""" VARCHAR(16777216),
	""""CAMPAIGN_API_ID"""" VARCHAR(16777216),
	""""COUNTRY"""" VARCHAR(16777216),
	""""ID"""" VARCHAR(16777216),
	""""GENDER"""" VARCHAR(16777216),
	""""NUMBER_CUSTOM_ATTRIBUTES"""" VARIANT,
	""""CAMPAIGN_ID"""" VARCHAR(16777216),
	""""TIME"""" NUMBER(38,0),
	""""FLOAT_CUSTOM_ATTRIBUTES"""" VARIANT,
	""""TIMEZONE"""" VARCHAR(16777216),
	""""STRING_CUSTOM_ATTRIBUTES"""" VARIANT,
	""""DISPATCH_ID"""" VARCHAR(16777216),
	""""LANGUAGE"""" VARCHAR(16777216),
	""""USER_ID"""" VARCHAR(16777216),
	""""SF_CREATED_AT"""" TIMESTAMP_LTZ,
	""""APP_GROUP_ID"""" VARCHAR(16777216),
	""""TIME_CUSTOM_ATTRIBUTES"""" VARIANT,
	""""SEND_ID"""" VARCHAR(16777216),
	""""APP_GROUP_API_ID"""" VARCHAR(16777216)
);"
USERS_CAMPAIGNS_REVENUE_VIEW,,"create or replace TABLE USERS_CAMPAIGNS_REVENUE_VIEW (
	""""DEVICE_ID"""" VARCHAR(16777216),
	""""SEND_ID"""" VARCHAR(16777216),
	""""GENDER"""" VARCHAR(16777216),
	""""CAMPAIGN_API_ID"""" VARCHAR(16777216),
	""""COUNTRY"""" VARCHAR(16777216),
	""""MESSAGE_VARIATION_ID"""" VARCHAR(16777216),
	""""EXTERNAL_USER_ID"""" VARCHAR(16777216),
	""""APP_GROUP_ID"""" VARCHAR(16777216),
	""""APP_GROUP_API_ID"""" VARCHAR(16777216),
	""""APP_API_ID"""" VARCHAR(16777216),
	""""REVENUE"""" NUMBER(38,0),
	""""ID"""" VARCHAR(16777216),
	""""MESSAGE_VARIATION_API_ID"""" VARCHAR(16777216),
	""""LANGUAGE"""" VARCHAR(16777216),
	""""SF_CREATED_AT"""" TIMESTAMP_LTZ,
	""""TIME"""" NUMBER(38,0),
	""""FLOAT_CUSTOM_ATTRIBUTES"""" VARIANT,
	""""STRING_CUSTOM_ATTRIBUTES"""" VARIANT,
	""""NUMBER_CUSTOM_ATTRIBUTES"""" VARIANT,
	""""DISPATCH_ID"""" VARCHAR(16777216),
	""""APP_ID"""" VARCHAR(16777216),
	""""TIMEZONE"""" VARCHAR(16777216),
	""""BOOLEAN_CUSTOM_ATTRIBUTES"""" VARIANT,
	""""USER_ID"""" VARCHAR(16777216),
	""""CAMPAIGN_ID"""" VARCHAR(16777216),
	""""TIME_CUSTOM_ATTRIBUTES"""" VARIANT
);"
USERS_CANVAS_CONVERSION_VIEW,,"create or replace TABLE USERS_CANVAS_CONVERSION_VIEW (
	""""APP_GROUP_API_ID"""" VARCHAR(16777216),
	""""EXTERNAL_USER_ID"""" VARCHAR(16777216),
	""""GENDER"""" VARCHAR(16777216),
	""""BOOLEAN_CUSTOM_ATTRIBUTES"""" VARIANT,
	""""CANVAS_STEP_API_ID"""" VARCHAR(16777216),
	""""DEVICE_ID"""" VARCHAR(16777216),
	""""CONVERSION_BEHAVIOR_INDEX"""" NUMBER(38,0),
	""""CANVAS_VARIATION_API_ID"""" VARCHAR(16777216),
	""""CANVAS_ID"""" VARCHAR(16777216),
	""""ID"""" VARCHAR(16777216),
	""""APP_ID"""" VARCHAR(16777216),
	""""CANVAS_API_ID"""" VARCHAR(16777216),
	""""TIME"""" NUMBER(38,0),
	""""CANVAS_VARIATION_ID"""" VARCHAR(16777216),
	""""NUMBER_CUSTOM_ATTRIBUTES"""" VARIANT,
	""""TIME_CUSTOM_ATTRIBUTES"""" VARIANT,
	""""CANVAS_STEP_ID"""" VARCHAR(16777216),
	""""LANGUAGE"""" VARCHAR(16777216),
	""""CANVAS_STEP_MESSAGE_VARIATION_API_ID"""" VARCHAR(16777216),
	""""SF_CREATED_AT"""" TIMESTAMP_LTZ,
	""""FLOAT_CUSTOM_ATTRIBUTES"""" VARIANT,
	""""TIMEZONE"""" VARCHAR(16777216),
	""""CANVAS_STEP_MESSAGE_VARIATION_ID"""" VARCHAR(16777216),
	""""USER_ID"""" VARCHAR(16777216),
	""""APP_API_ID"""" VARCHAR(16777216),
	""""APP_GROUP_ID"""" VARCHAR(16777216),
	""""COUNTRY"""" VARCHAR(16777216),
	""""STRING_CUSTOM_ATTRIBUTES"""" VARIANT
);"
